iter	Passed	Remaining
0	0	98
1	1	96
2	2	92
3	3	85
4	4	82
5	5	81
6	5	76
7	6	74
8	7	71
9	7	68
10	8	66
11	8	63
12	9	62
13	9	60
14	10	59
15	10	57
16	11	55
17	12	55
18	12	55
19	13	54
20	14	53
21	14	51
22	15	50
23	15	50
24	16	49
25	17	48
26	17	47
27	18	47
28	18	46
29	19	45
30	20	44
31	20	44
32	21	43
33	21	42
34	22	41
35	23	41
36	23	40
37	24	39
38	24	38
39	25	38
40	25	37
41	26	36
42	27	36
43	27	35
44	28	34
45	28	33
46	29	33
47	29	32
48	30	31
49	31	31
50	31	30
51	32	29
52	32	29
53	33	28
54	34	28
55	35	27
56	35	26
57	36	26
58	37	25
59	37	25
60	38	24
61	38	23
62	39	23
63	40	22
64	40	22
65	41	21
66	42	20
67	42	20
68	43	19
69	44	18
70	44	18
71	45	17
72	45	17
73	46	16
74	47	15
75	47	15
76	48	14
77	49	13
78	49	13
79	50	12
80	50	11
81	51	11
82	51	10
83	52	10
84	53	9
85	53	8
86	54	8
87	54	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	58	3
95	59	2
96	60	1
97	60	1
98	61	0
99	62	0
